Geneid	SRR7821918	SRR7821919	SRR7821920	SRR7821921	SRR7821922	SRR7821937	SRR7821938	SRR7821939	SRR7821949	SRR7821950	SRR7821951	SRR7821952	SRR7821953	SRR7821968	SRR7821969	SRR7821970
ENSMUSG00000102628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097426	20	18	8	14	3	48	13	11	0	0	0	0	0	0	1	0
ENSMUSG00000104478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	3	3	2	4	2	2	13	4	4	0	1	0	1	2	0	1
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100764	1	3	7	3	7	3	0	11	3	3	2	4	0	3	0	0
ENSMUSG00000102095	34	21	25	20	5	73	11	29	2	0	0	0	0	0	14	0
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100635	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100480	6	11	5	12	19	14	8	29	3	6	1	6	8	7	0	0
ENSMUSG00000114212	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000089037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100025	0	0	0	0	1	0	0	0	1	0	2	1	1	0	0	0
ENSMUSG00000114694	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100954	18	3	5	7	14	16	27	34	13	11	16	13	10	14	9	7
ENSMUSG00000051285	2841	2751	2774	3093	2601	3341	1470	3880	1070	845	1219	901	624	1595	557	1318
ENSMUSG00000098201	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSMUSG00000103509	39	99	122	98	87	14	11	94	50	12	50	31	12	9	8	8
ENSMUSG00000048538	84	61	33	40	41	86	51	20	48	34	67	63	84	12	3	4
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	3	7	1	2	2	13	8	13	1	4	1	2	2	0	0	5
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
ENSMUSG00000026312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039748	129	176	130	171	126	45	31	81	266	128	178	166	132	12	25	20
ENSMUSG00000118715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104158	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0
ENSMUSG00000103540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057363	671	596	567	732	788	818	738	1065	436	386	547	400	408	260	133	159
ENSMUSG00000047216	26	7	16	11	10	135	29	115	0	0	0	0	0	1	0	0
ENSMUSG00000102788	0	0	0	0	0	4	1	2	0	0	0	0	0	0	0	0
ENSMUSG00000102160	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090243	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000100701	4	0	1	3	1	2	2	1	0	1	5	1	3	1	1	0
ENSMUSG00000100555	1	0	3	0	1	4	4	0	0	0	1	0	0	0	0	0
ENSMUSG00000101395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038702	407	422	377	400	454	698	257	822	28	40	60	50	58	35	28	40
ENSMUSG00000101875	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000099732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033021	1268	1360	1103	1435	1289	1609	2191	1662	1377	1035	1489	1139	967	492	279	385
ENSMUSG00000055214	1	2	4	5	3	0	10	3	0	0	0	0	0	4	0	0
ENSMUSG00000078184	11	10	4	5	5	2	11	3	2	2	2	0	4	1	0	0
ENSMUSG00000104363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104157	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000102446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033007	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0
ENSMUSG00000102605	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000070695	0	0	0	1	0	3	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000025909	20	11	14	15	10	8	6	22	0	0	0	0	1	6	0	11
ENSMUSG00002076179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235	4	2	4	5	11	5	8	7	1	0	1	0	0	1	0	0
ENSMUSG00000102253	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002074990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	69	59	49	60	54	14	3	32	82	71	73	35	61	8	9	6
ENSMUSG00002076328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
